
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> Euro
	<Currency> Euro, 1
	<Currency> Euro5, 5
	<Currency> Euro10, 10
	<Currency> Euro20, 20
	<Currency> Euro50, 50
	<Currency> Euro100, 100

<Trader> Food & Medical Trader // ID=0
	<Category> Vegetables
		Plum,										*,			30,			A
		Fal_FoldingBttstck,							*,			150,		A
		zenitco_pt3_buttstock,						*,			250,		A
		AK_WoodBttstck,								*,			200,		A
		AK_FoldingBttstck,							*,			250,		A
		MSFC_AK_Tactical_Buttstck,					*,			300,		A
		AK_PlasticBttstck,							*,			200,		A
		MSFC_AK_PlasticButtstock_WHITE,				*,			250,		A
		MSFC_AK_PlasticButtstock_ATACS_AU,			*,			250,		A
		MSFC_AK_PlasticButtstock_ATACS_FG,			*,			250,		A
		MSFC_AK_PlasticButtstock_BLUE,				*,			250,		A
		MSFC_AK_PlasticButtstock_EMR,				*,			250,		A
		MSFC_AK_PlasticButtstock_Flecktarn,			*,			250,		A
		MSFC_AK_PlasticButtstock_HEX,				*,			250,		A
		MSFC_AK_PlasticButtstock_MARPAT_WD,			*,			250,		A
		MSFC_AK_PlasticButtstock_MULTICAM,			*,			250,		A
		MSFC_AK_PlasticButtstock_MULTICAM_BLACK,	*,			250,		A
		MSFC_AK_PlasticButtstock_MULTICAM_TROPIC,	*,			250,		A
		MSFC_AK_PlasticButtstock_SNAKE,				*,			250,		A
		MSFC_AK_PlasticButtstock_SNAKE_GREEN,		*,			250,		A
		MSFC_AK_PlasticButtstock_SURPAT,			*,			250,		A
		MSFC_AK_PlasticButtstock_VIPER_WESTERN,		*,			250,		A
		MSFC_AK_PlasticButtstock_Woodland,			*,			250,		A
		MSFC_AK_PlasticButtstock_SURPAT_TAN,		*,			250,		A
		MSFC_AK_PlasticButtstock_ORANGE,			*,			250,		A
		MSFC_AK_PlasticButtstock_RED,				*,			250,		A
		MSFC_AK_PlasticButtstock_DARK,				*,			250,		A
		MSFC_AK_PlasticButtstock_MATRIX,			*,			250,		A
		MSFC_AK_PlasticButtstock_REDBLACKWHITE,		*,			250,		A
		MSFC_AK_PlasticButtstock_Honeycomb,			*,			250,		A
		MSFC_AK_PlasticButtstock_STAR,				*,			250,		A
		AK74_WoodBttstck,							*,			150,		A
		M4_OEBttstck,								*,			150,		A
		MSFC_M4_OEBttstck_WHITE,					*,			200,		A
		MSFC_M4_OEBttstck_ATACS_AU,					*,			200,		A
		MSFC_M4_OEBttstck_ATACS_FG,					*,			200,		A
		MSFC_M4_OEBttstck_BLUE,						*,			200,		A
		MSFC_M4_OEBttstck_EMR,						*,			200,		A
		MSFC_M4_OEBttstck_Flecktarn,				*,			200,		A
		MSFC_M4_OEBttstck_HEX,						*,			200,		A
		MSFC_M4_OEBttstck_MARPAT_WD,				*,			200,		A
		MSFC_M4_OEBttstck_MULTICAM,					*,			200,		A
		MSFC_M4_OEBttstck_MULTICAM_BLACK,			*,			200,		A
		MSFC_M4_OEBttstck_MULTICAM_TROPIC,			*,			200,		A
		MSFC_M4_OEBttstck_SNAKE,					*,			200,		A
		MSFC_M4_OEBttstck_SNAKE_GREEN,				*,			200,		A
		MSFC_M4_OEBttstck_SURPAT,					*,			200,		A
		MSFC_M4_OEBttstck_VIPER_WESTERN,			*,			200,		A
		MSFC_M4_OEBttstck_Woodland,					*,			200,		A
		MSFC_M4_OEBttstck_SURPAT_TAN,				*,			200,		A
		MSFC_M4_OEBttstck_ORANGE,					*,			200,		A
		MSFC_M4_OEBttstck_RED,						*,			200,		A
		MSFC_M4_OEBttstck_DARK,						*,			200,		A
		MSFC_M4_OEBttstck_MATRIX,					*,			200,		A
		MSFC_M4_OEBttstck_REDBLACKWHITE,			*,			200,		A
		MSFC_M4_OEBttstck_Honeycomb,				*,			200,		A
		MSFC_M4_OEBttstck_STAR,						*,			200,		A
		M4_CQBBttstck,								*,			150,		A
		M4_MPBttstck,								*,			150,		A
		MassStockPouch,								*,			50,			A
	<Category> Optics
		M1A_RailAtt,								M,			100,		A
		MassSVTMount,								M,			100,		A
		M4_CarryHandleOptic,						*,			50,			A
		BUISOptic,									*,			50,			A
		FNP45_MRDSOptic,							*,			400,		A
		MassHolo,									*,			500,		A
		MassHolo2,									*,			500,		A
		ACOGOptic,									*,			600,		A
		M68Optic,									*,			650,		A
		M4_T3NRDSOptic,								*,			650,		A
		MassScope,									*,			650,		A
		KobraOptic,									*,			550,		A
		KashtanOptic,								*,			700,		A
		PUScopeOptic,								*,			450,		A
		HuntingOptic,								*,			1000,		A
		Leupold_mung,								*,			1000,		A
		SniperOptic,								*,			2500,		A
		PSO1Optic,									*,			1500,		A
		PSO11Optic,									*,			1500,		A
		KazuarOptic,								*,			2500,		A
		MassScoutLRS,								*,			2500,		A
	<Category> Supressors
		PistolSuppressor,							*,			250,		A
		AK_Suppressor,								*,			500,		A
		M4_Suppressor,								*,			500,		A
		MSFC_DHG_Suppressor,						*,			500,		A
		MSFC_PBS4_Suppressor,						*,			500,		A
		MSFC_SWR_PistolSuppressor,					*,			500,		A
		MassScoutSuppressor,						*,			750,		A
		shotgun_Suppressor,							*,			1000,		A
		MassSuppressor308,							*,			1000,		A
	<Category> Compensators
		Mosin_Compensator,							*,			150,		A
		MP5_Compensator,							*,			200,		A
		MassMuzzle762,								*,			400,		A
		MassMuzzle556,								*,			400,		A
		MassMuzzle338,								*,			400,		A
		MassMuzzlePistol,							*,			150,		A
	<Category> Bayonets
		Mosin_Bayonet,								*,			100,		A
		M9A1_Bayonet,								*,			150,		A
		AK_Bayonet,									*,			150,		A
		SKS_Bayonet,								*,			100,		A
		Kar98_Bayonet,								*,			100,		A
	<Category> Flashlights & Lasers
		Universallight,								*,			120,		A
		MoreGuns_ANPEQ15_Red,						*,			500,		A
		MoreGuns_ANPEQ15_Green,						*,			500,		A
<Trader> Clothing Trader // ID=4
	<Category> Protective Gear
		GP5GasMask,									*,			250,		A
		Massblackgp5,								*,			250,		A
		GasMask,									*,			250,		A
		stalker_gasmask_white_mung,					*,			250,		A
		stalker_gasmask_black_mung,					*,			250,		A
		mag3_gasmask_mung,							*,			250,		A
		PMK_5A_Gas_Mask,							*,			250,		A
		NBCGlovesGray,								*,			150,		A
		NBCHoodGray,								*,			300,		A
		NBCJacketGray,								*,			500,		A
		NBCPantsGray,								*,			500,		A
		NBCBootsGray,								*,			150,		A
		MassNBCglovesBlue,							*,			150,		A
		MassNBChoodYellow,							*,			300,		A
		MassNBCJacketYellow,						*,			500,		A
		MassNBCpantsYellow,							*,			500,		A
		MassNBCbootsYellow,							*,			150,		A
		MassNBC_Bag,								*,			500,		A
	<Category> Glasses
		SportGlasses_Orange,						*,			17,			A
		SportGlasses_Blue,							*,			18,			A
		SportGlasses_Black,							*,			20,			A
		SportGlasses_Green,							*,			20,			A
		ThinFramesGlasses,							*,			20,			A
		ThickFramesGlasses,							*,			23,			A
		DesignerGlasses,							*,			30,			A
		AviatorGlasses,								*,			40,			A
		Lennon_glasses_pink_mung,					*,			200,		A
		Lennon_glasses_galaxy_mung,					*,			200,		A
		Lennon_glasses_black_mung,					*,			200,		A
		Lennon_glasses_blue_mung,					*,			200,		A
		Lennon_glasses_yellow_mung,					*,			200,		A
		Lennon_glasses_white_mung,					*,			200,		A
		victorian_glasses_pink_mung,				*,			200,		A
		victorian_glasses_galaxy_mung,				*,			200,		A
		victorian_glasses_black_mung,				*,			200,		A
		victorian_glasses_blue_mung,				*,			200,		A
		victorian_glasses_yellow_mung,				*,			200,		A
		victorian_glasses_white_mung,				*,			200,		A
	<Category> Armbands
		Armband_Pink,								*,			25,			A
		Armband_Yellow,								*,			25,			A
		Armband_Orange,								*,			25,			A
		Armband_Red,								*,			25,			A
		Armband_Blue,								*,			25,			A
		Armband_White,								*,			25,			A
		Armband_Black,								*,			25,			A
		Armband_Green,								*,			25,			A
		MassArmband_TU,								*,			25,			A
		MassArmband_NCR,							*,			25,			A
		MassArmband_snowBDU,						*,			25,			A
		MassArmband_PartizanM,						*,			25,			A
		MassArmband_Mandrake,						*,			25,			A
		MassArmband_Woodland,						*,			25,			A
		MassArmband_Urban,							*,			25,			A
		MassArmband_Orel,							*,			25,			A
		MassArmband_BWS,							*,			25,			A
		MassArmband_BT,								*,			25,			A
	<Category> Gloves
		WorkingGloves_Yellow,						*,			25,			A
		WorkingGloves_Beige,						*,			30,			A
		WorkingGloves_Brown,						*,			30,			A
		WorkingGloves_Black,						*,			30,			A
	<Category> Hats & Caps
		Bandana_Polkapattern,						*,			6,			A
		Bandana_Redpattern,							*,			6,			A
		Bandana_Blackpattern,						*,			6,			A
		Bandana_Greenpattern,						*,			8,			A
		Bandana_Camopattern,						*,			10,			A
		BaseballCap_CMMG_Pink,						*,			12,			A
		BaseballCap_Pink,							*,			12,			A
		BaseballCap_Red,							*,			12,			A
		BaseballCap_Blue,							*,			12,			A
		BaseballCap_Beige,							*,			12,			A
		BaseballCap_CMMG_Black,						*,			12,			A
		BaseballCap_Black,							*,			13,			A
		BaseballCap_Olive,							*,			14,			A
		BaseballCap_Camo,							*,			16,			A
		Massurbancamohat,							*,			16,			A
		BoonieHat_Orange,							*,			16,			A
		BoonieHat_Red,								*,			16,			A
		BoonieHat_Blue,								*,			16,			A
		BoonieHat_NavyBlue,							*,			16,			A
		BoonieHat_Black,							*,			17,			A
		BoonieHat_Tan,								*,			18,			A
		BoonieHat_Olive,							*,			18,			A
		BoonieHat_DPM,								*,			20,			A
		BoonieHat_Dubok,							*,			20,			A
		BoonieHat_Flecktran,						*,			20,			A
		MasscamoBooniehat,							*,			20,			A
		CowboyHat_Brown,							*,			20,			A
		CowboyHat_darkBrown,						*,			20,			A
		CowboyHat_black,							*,			20,			A
		CowboyHat_green,							*,			20,			A
		MassHuntingCowboyhat,						*,			20,			A
		BeanieHat_Pink,								*,			30,			A
		BeanieHat_Red,								*,			30,			A
		BeanieHat_Blue,								*,			30,			A
		BeanieHat_Grey,								*,			30,			A
		BeanieHat_Beige,							*,			30,			A
		BeanieHat_Brown,							*,			30,			A
		BeanieHat_Black,							*,			31,			A
		BeanieHat_Green,							*,			32,			A
		FlatCap_Red,								*,			32,			A
		FlatCap_Blue,								*,			32,			A
		FlatCap_BrownCheck,							*,			32,			A
		FlatCap_GreyCheck,							*,			32,			A
		FlatCap_Grey,								*,			32,			A
		FlatCap_Brown,								*,			32,			A
		FlatCap_Black,								*,			32,			A
		FlatCap_BlackCheck,							*,			32,			A
		ZmijovkaCap_Red,							*,			36,			A
		ZmijovkaCap_Blue,							*,			36,			A
		ZmijovkaCap_Brown,							*,			36,			A
		ZmijovkaCap_Black,							*,			37,			A
		ZmijovkaCap_Green,							*,			38,			A
		RadarCap_Red,								*,			40,			A
		RadarCap_Blue,								*,			40,			A
		RadarCap_Brown,								*,			40,			A
		RadarCap_Black,								*,			42,			A
		RadarCap_Green,								*,			45,			A
		Ushanka_Blue,								*,			50,			A
		Ushanka_Black,								*,			50,			A
		Ushanka_Green,								*,			55,			A
		MassBeigeUshanka,							*,			55,			A
		MassWinterHuntingHood,						*,			55,			A
	<Category> Helmets
		ConstructionHelmet_Yellow,					*,			30,			A
		ConstructionHelmet_Orange,					*,			30,			A
		ConstructionHelmet_Red,						*,			30,			A
		ConstructionHelmet_Blue,					*,			30,			A
		ConstructionHelmet_White,					*,			30,			A
		ConstructionHelmet_Lime,					*,			33,			A
		SkateHelmet_Red,							*,			45,			A
		SkateHelmet_Blue,							*,			45,			A
		SkateHelmet_Gray,							*,			45,			A
		SkateHelmet_Black,							*,			47,			A
		SkateHelmet_Green,							*,			50,			A
		HockeyHelmet_Red,							*,			50,			A
		HockeyHelmet_Blue,							*,			50,			A
		HockeyHelmet_White,							*,			50,			A
		HockeyHelmet_Black,							*,			55,			A
		DirtBikeHelmet_Mouthguard,					*,			15,			A
		DirtBikeHelmet_Visor,						*,			25,			A
		DirtBikeHelmet_Red,							*,			60,			A
		DirtBikeHelmet_Blue,						*,			60,			A
		DirtBikeHelmet_Police,						*,			60,			A
		DirtBikeHelmet_Green,						*,			60,			A
		DirtBikeHelmet_Chernarus,					*,			60,			A
		DirtBikeHelmet_Black,						*,			65,			A
		DirtBikeHelmet_Khaki,						*,			70,			A
		MotoHelmet_Red,								*,			70,			A
		MotoHelmet_Blue,							*,			70,			A
		MotoHelmet_White,							*,			70,			A
		MotoHelmet_Lime,							*,			70,			A
		MotoHelmet_Grey,							*,			75,			A
		MotoHelmet_Black,							*,			75,			A
		MotoHelmet_Green,							*,			80,			A
		DarkMotoHelmet_Red,							*,			80,			A
		DarkMotoHelmet_Blue,						*,			80,			A
		DarkMotoHelmet_White,						*,			80,			A
		DarkMotoHelmet_Lime,						*,			80,			A
		DarkMotoHelmet_Grey,						*,			80,			A
		DarkMotoHelmet_Black,						*,			85,			A
		DarkMotoHelmet_Green,						*,			90,			A
		FirefightersHelmet_Yellow,					*,			150,		A
		FirefightersHelmet_Red,						*,			150,		A
		FirefightersHelmet_White,					*,			150,		A
	<Category> Masks
		BandanaMask_PolkaPattern,					*,			25,			A
		BandanaMask_RedPattern,						*,			25,			A
		BandanaMask_BlackPattern,					*,			25,			A
		BandanaMask_GreenPattern,					*,			30,			A
		BandanaMask_CamoPattern,					*,			35,			A
		bandana_mung,								*,			100,		A
		NioshFaceMask,								*,			40,			A
		HockeyMask,									*,			40,			A
		clownmask_mung,								*,			100,		A
		teddyhead_mung,								*,			200,		A
		hannibal_mask_mung,							*,			100,		A
//		HoxtonMask,                                                            *,                   40,                  10
//		WolfMask,                                                              *,                   40,                  10
//		DallasMask,                                                            *,                   40,                  10
		Balaclava3Holes_Blue,						*,			50,			A
		Balaclava3Holes_Beige,						*,			50,			A
		Balaclava3Holes_Black,						*,			55,			A
		Balaclava3Holes_Green,						*,			60,			A
		WeldingMask,								*,			70,			A
	<Category> Shirts
		TShirt_OrangeWhiteStripes,					*,			8,			A
		TShirt_RedBlackStripes,						*,			8,			A
		TShirt_Red,									*,			8,			A
		TShirt_Blue,								*,			8,			A
		TShirt_White,								*,			10,			A
		TShirt_Grey,								*,			10,			A
		TShirt_Beige,								*,			10,			A
		TShirt_Black,								*,			12,			A
		TShirt_Green,								*,			12,			A
		MassGokuShirt,								*,			12,			A
		TelnyashkaShirt,							*,			14,			A
		Shirt_RedCheck,								*,			16,			A
		Shirt_BlueCheckBright,						*,			16,			A
		Shirt_BlueCheck,							*,			16,			A
		Shirt_WhiteCheck,							*,			16,			A
		Shirt_PlaneBlack,							*,			17,			A
		Shirt_GreenCheck,							*,			18,			A
		Blouse_Violet,								*,			16,			A
		Blouse_Blue,								*,			16,			A
		Blouse_White,								*,			16,			A
		Blouse_Green,								*,			18,			A
		ChernarusSportShirt,						*,			25,			A
		TacticalShirt_Grey,							*,			36,			A
		TacticalShirt_Tan,							*,			37,			A
		TacticalShirt_Black,						*,			38,			A
		TacticalShirt_Olive,						*,			40,			A
		MassTropicamTop,							*,			40,			A
		MassMandraketop,							*,			40,			A
		MassWinterHunterTop,						*,			40,			A
	<Category> Hoodies & Sweater
		Sweater_Red,								*,			20,			A
		Sweater_Blue,								*,			20,			A
		Sweater_Gray,								*,			20,			A
		Sweater_Green,								*,			25,			A
		Masswoodlandcamosweater,					*,			25,			A
		Hoodie_Red,									*,			30,			A
		Hoodie_Blue,								*,			30,			A
		Hoodie_Grey,								*,			30,			A
		Hoodie_Brown,								*,			30,			A
		Hoodie_Black,								*,			30,			A
		Hoodie_Green,								*,			35,			A
		MassCamoHoodie,								*,			35,			A
	<Category> Vests
		ReflexVest,									*,			5,			A
		PoliceVest,									*,			35,			A
		HuntingVest,								*,			55,			A
		PressVest_LightBlue,						*,			85,			A
		PressVest_Blue,								*,			90,			A
		Mass_PressVestBlack,						*,			90,			A
		Mass_TradeVest,								*,			90,			A
	<Category> Jackets & Coats
		TrackSuitJacket_Red,						*,			15,			A
		TrackSuitJacket_LightBlue,					*,			15,			A
		TrackSuitJacket_Blue,						*,			15,			A
		TrackSuitJacket_Black,						*,			15,			A
		TrackSuitJacket_Green,						*,			15,			A
		DenimJacket,								*,			18,			A
		ManSuit_Blue,								*,			18,			A
		ManSuit_White,								*,			18,			A
		ManSuit_LightGrey,							*,			18,			A
		ManSuit_DarkGrey,							*,			18,			A
		ManSuit_Beige,								*,			18,			A
		ManSuit_Brown,								*,			18,			A
		ManSuit_Black,								*,			18,			A
		ManSuit_Khaki,								*,			18,			A
		WomanSuit_Blue,								*,			18,			A
		WomanSuit_White,							*,			18,			A
		WomanSuit_LightGrey,						*,			18,			A
		WomanSuit_DarkGrey,							*,			18,			A
		WomanSuit_Beige,							*,			18,			A
		WomanSuit_Brown,							*,			18,			A
		WomanSuit_Black,							*,			18,			A
		WomanSuit_Khaki,							*,			18,			A
		WoolCoat_Red,								*,			18,			A
		WoolCoat_RedCheck,							*,			18,			A
		WoolCoat_Blue,								*,			18,			A
		WoolCoat_BlueCheck,							*,			18,			A
		WoolCoat_GreyCheck,							*,			18,			A
		WoolCoat_BrownCheck,						*,			18,			A
		WoolCoat_Beige,								*,			18,			A
		WoolCoat_Black,								*,			19,			A
		WoolCoat_BlackCheck,						*,			19,			A
		WoolCoat_Green,								*,			20,			A
		RidersJacket_Black,							*,			20,			A
		FirefighterJacket_Beige,					*,			24,			A
		FirefighterJacket_Black,					*,			24,			A
		JumpsuitJacket_Red,							*,			26,			A
		JumpsuitJacket_Blue,						*,			26,			A
		JumpsuitJacket_Gray,						*,			26,			A
		JumpsuitJacket_Green,						*,			26,			A
		BomberJacket_Maroon,						*,			26,			A
		BomberJacket_SkyBlue,						*,			26,			A
		BomberJacket_Blue,							*,			26,			A
		BomberJacket_Grey,							*,			26,			A
		BomberJacket_Brown,							*,			26,			A
		BomberJacket_Black,							*,			28,			A
		BomberJacket_Olive,							*,			30,			A
		QuiltedJacket_Orange,						*,			26,			A
		QuiltedJacket_Yellow,						*,			26,			A
		QuiltedJacket_Red,							*,			26,			A
		QuiltedJacket_Violet,						*,			26,			A
		QuiltedJacket_Blue,							*,			26,			A
		QuiltedJacket_Grey,							*,			26,			A
		QuiltedJacket_Black,						*,			28,			A
		QuiltedJacket_Green,						*,			30,			A
		ParamedicJacket_Crimson,					*,			36,			A
		ParamedicJacket_Blue,						*,			36,			A
		ParamedicJacket_Green,						*,			36,			A
		HikingJacket_Red,							*,			36,			A
		HikingJacket_Blue,							*,			38,			A
		HikingJacket_Black,							*,			38,			A
		HikingJacket_Green,							*,			40,			A
		MassTUhikingjacket,							*,			40,			A
		Raincoat_Pink,								*,			70,			A
		Raincoat_Orange,							*,			70,			A
		Raincoat_Yellow,							*,			70,			A
		Raincoat_Red,								*,			70,			A
		Raincoat_Blue,								*,			70,			A
		Raincoat_Black,								*,			80,			A
		Raincoat_Green,								*,			100,		A
		HuntingJacket_Winter,						*,			120,		A
		HuntingJacket_Brown,						*,			120,		A
		HuntingJacket_Autumn,						*,			120,		A
		HuntingJacket_Spring,						*,			120,		A
		HuntingJacket_Summer,						*,			120,		A
		MassBlackJacket,							*,			120,		A
		MassBeigeJacket,							*,			120,		A
	<Category> Skirts & Dresses
		Skirt_Yellow,								*,			30,			A
		Skirt_Red,									*,			30,			A
		Skirt_Blue,									*,			30,			A
		Skirt_White,								*,			30,			A
		MiniDress_Pink,								*,			35,			A
		MiniDress_PinkChecker,						*,			35,			A
		MiniDress_RedChecker,						*,			35,			A
		MiniDress_BlueChecker,						*,			35,			A
		MiniDress_BlueWithDots,						*,			35,			A
		MiniDress_WhiteChecker,						*,			35,			A
		MiniDress_BrownChecker,						*,			35,			A
		MiniDress_GreenChecker,						*,			35,			A
		NurseDress_Blue,							*,			40,			A
		NurseDress_White,							*,			40,			A
	<Category> Pants
		TrackSuitPants_Red,							*,			15,			A
		TrackSuitPants_LightBlue,					*,			15,			A
		TrackSuitPants_Blue,						*,			15,			A
		TrackSuitPants_Black,						*,			15,			A
		TrackSuitPants_Green,						*,			15,			A
		Breeches_Pink,								*,			20,			A
		Breeches_Red,								*,			20,			A
		Breeches_Blue,								*,			20,			A
		Breeches_White,								*,			20,			A
		Breeches_Beetcheck,							*,			20,			A
		Breeches_Beige,								*,			21,			A
		Breeches_Browncheck,						*,			21,			A
		Breeches_Black,								*,			22,			A
		Breeches_Blackcheck,						*,			22,			A
		Breeches_Green,								*,			24,			A
		SlacksPants_Blue,							*,			20,			A
		SlacksPants_White,							*,			20,			A
		SlacksPants_LightGrey,						*,			20,			A
		SlacksPants_DarkGrey,						*,			20,			A
		SlacksPants_Beige,							*,			20,			A
		SlacksPants_Brown,							*,			21,			A
		SlacksPants_Black,							*,			22,			A
		SlacksPants_Khaki,							*,			24,			A
		CanvasPantsMidi_Red,						*,			24,			A
		CanvasPantsMidi_Violet,						*,			24,			A
		CanvasPantsMidi_Blue,						*,			24,			A
		CanvasPantsMidi_Grey,						*,			24,			A
		CanvasPantsMidi_Beige,						*,			25,			A
		CanvasPants_Red,							*,			26,			A
		CanvasPants_Violet,							*,			26,			A
		CanvasPants_Blue,							*,			26,			A
		CanvasPants_Grey,							*,			26,			A
		CanvasPants_Beige,							*,			28,			A
		JumpsuitPants_Red,							*,			28,			A
		JumpsuitPants_Blue,							*,			28,			A
		JumpsuitPants_Grey,							*,			28,			A
		JumpsuitPants_Green,						*,			28,			A
		ParamedicPants_Crimson,						*,			35,			A
		ParamedicPants_Blue,						*,			35,			A
		ParamedicPants_Green,						*,			35,			A
		FirefightersPants_Beige,					*,			35,			A
		FirefightersPants_Black,					*,			35,			A
		MassMandrakebottom,							*,			35,			A
		CargoPants_Blue,							*,			35,			A
		CargoPants_Grey,							*,			35,			A
		CargoPants_Beige,							*,			35,			A
		CargoPants_Black,							*,			35,			A
		CargoPants_Green,							*,			35,			A
		MassTropicamPants,							*,			35,			A
		Masswoodlandcargopants,						*,			35,			A
		Massurbancamocargopants,					*,			35,			A
		ShortJeans_Red,								*,			38,			A
		ShortJeans_Blue,							*,			38,			A
		ShortJeans_Darkblue,						*,			38,			A
		ShortJeans_Brown,							*,			38,			A
		ShortJeans_Black,							*,			40,			A
		ShortJeans_Green,							*,			42,			A
		Massjeanshorts,								*,			38,			A
		Jeans_Blue,									*,			40,			A
		Jeans_BlueDark,								*,			40,			A
		Jeans_Grey,									*,			40,			A
		Jeans_Brown,								*,			40,			A
		Jeans_Black,								*,			42,			A
		Jeans_Green,								*,			45,			A
		HunterPants_Winter,							*,			90,			A
		HunterPants_Brown,							*,			100,		A
		HunterPants_Spring,							*,			100,		A
		HunterPants_Autumn,							*,			100,		A
		HunterPants_Summer,							*,			100,		A
	<Category> Shoes & Boots
		AthleticShoes_Blue,							*,			17,			A
		AthleticShoes_Grey,							*,			20,			A
		AthleticShoes_Brown,						*,			20,			A
		AthleticShoes_Black,						*,			23,			A
		AthleticShoes_Green,						*,			23,			A
		JoggingShoes_Violet,						*,			30,			A
		JoggingShoes_Red,							*,			30,			A
		JoggingShoes_Blue,							*,			30,			A
		JoggingShoes_White,							*,			30,			A
		JoggingShoes_Black,							*,			30,			A
		Sneakers_Red,								*,			30,			A
		Sneakers_White,								*,			30,			A
		Sneakers_Gray,								*,			30,			A
		Sneakers_Black,								*,			31,			A
		Sneakers_Green,								*,			32,			A
		DressShoes_White,							*,			32,			A
		DressShoes_Brown,							*,			35,			A
		DressShoes_Black,							*,			35,			A
		DressShoes_Beige,							*,			35,			A
		DressShoes_Sunburst,						*,			35,			A
		HikingBootsLow_Blue,						*,			45,			A
		HikingBootsLow_Grey,						*,			45,			A
		HikingBootsLow_Beige,						*,			48,			A
		HikingBootsLow_Black,						*,			50,			A
		WorkingBoots_Yellow,						*,			55,			A
		WorkingBoots_Grey,							*,			60,			A
		WorkingBoots_Beige,							*,			60,			A
		WorkingBoots_Brown,							*,			60,			A
		WorkingBoots_Green,							*,			65,			A
		HikingBoots_Brown,							*,			75,			A
		HikingBoots_Black,							*,			75,			A
		Wellies_Grey,								*,			85,			A
		Wellies_Brown,								*,			85,			A
		Wellies_Black,								*,			85,			A
		Wellies_Green,								*,			90,			A
	<Category> Belt
		CivilianBelt,								*,			40,			A
		fannypack_pink_mung,						*,			80,			A
		fannypack_black_mung,						*,			80,			A
		fannypack_camo_mung,						*,			80,			A
		fannypack_multi_mung,						*,			80,			A
		MassToolbelt,								*,			150,		A
	<Category> Bags
		DryBag_Yellow,								*,			2205,		A
		DryBag_Orange,								*,			2205,		A
		DryBag_Red,									*,			2205,		A
		DryBag_Blue,								*,			2205,		A
		DryBag_Black,								*,			2205,		A
		DryBag_Green,								*,			2205,		A
		MassCanvasBag,								*,			2205,		A
		Massbag,									*,			2205,		A
		Massbag2,									*,			2205,		A
		Massbag3,									*,			2205,		A
		Massbag4,									*,			2205,		A
		TaloonBag_Orange,							*,			1470,		A
		TaloonBag_Violet,							*,			1470,		A
		TaloonBag_Blue,								*,			1470,		A
		TaloonBag_Green,							*,			1470,		A
		MasscamoTaloon,								*,			1470,		A
		MasscamoTaloon1,							*,			1470,		A
		WaterproofBag_Yellow,						*,			700,		A
		WaterproofBag_Orange,						*,			700,		A
		WaterproofBag_Green,						*,			700,		A
		simplebackpack_blue_mung,					*,			800,		A
		simplebackpack_camoblack_mung,				*,			800,		A
		simplebackpack_green_mung,					*,			800,		A
		simplebackpack_redpink_mung,				*,			800,		A
		simplebackpack_redyellow_mung,				*,			800,		A
		HuntingBag,									*,			2205,		A
		Massbrownhuntingbp,							*,			2205,		A
		Massblackhuntingbp,							*,			2205,		A
		MassWinterHuntingbp,						*,			2205,		A
		TortillaBag,								*,			2205,		A
		MassWinterTortilla,							*,			2205,		A
		jaakari_simple_tan_mung,					*,			1520,		A
		jaakari_simple_black_mung,					*,			1520,		A
		jaakari_simple_camo_mung,					*,			1520,		A
		jaakari_simple_brown_mung,					*,			1520,		A
		jaakari_tan_mung,							*,			2432,		A
		jaakari_black_mung,							*,			2432,		A
		jaakari_camo_mung,							*,			2432,		A
		jaakari_brown_mung,							*,			2432,		A
		MountainBag_Orange,							*,			2800,		A
		MountainBag_Red,							*,			2800,		A
		MountainBag_Blue,							*,			2800,		A
		MountainBag_Green,							*,			2800,		A
		MassBlackYellowMB,							*,			2800,		A
		Massczech,									*,			2800,		A
		MassczechWinter,							*,			2800,		A
		Hikingbagmung_white,						*,			3040,		A
		Hikingbagmung_yellow,						*,			3040,		A
		Hikingbagmung_red,							*,			3040,		A
		Hikingbagmung_blue,							*,			3040,		A
		Hikingbagmung_green,						*,			3040,		A
		Hikingbagmung_black,						*,			3040,		A
		Hikingbagmung_camo,							*,			3040,		A
	<Category> Leather Goods
		TannedLeather,								*,			-1,			A
		LeatherStrip,								*,			-1,			A
		Reinforced_TannedLeather,					*,			-1,			A
		LeatherBelt_Natural,						*,			150,		A
		LeatherGloves_Natural,						*,			468,		A
		LeatherHat_Natural,							*,			675,		A
		LeatherJacket_Natural,						*,			1125,		A
		LeatherPants_Natural,						*,			900,		A
		LeatherShoes_Natural,						*,			675,		A
		LeatherStorageVest_Natural,					*,			900,		A
		LeatherGloves_Night,						*,			468,		A
		LeatherJacket_Night,						*,			1125,		A
		LeatherPants_Night,							*,			900,		A
		LeatherStorageVest_Night,					*,			900,		A
		LeatherGloves_winter,						*,			468,		A
		LeatherJacket_winter,						*,			1125,		A
		LeatherPants_winter,						*,			900,		A
		LeatherStorageVest_winter,					*,			900,		A
		LeatherGloves_Green,						*,			468,		A
